NAMA_PROV,NAMA_KAB,NAMA_KEC_X,NAMA_DESA_X,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,ID_UNIK_PODES,TARGET,KEY_JOIN,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,ID_UNIK_SAT,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,PANTAI,2,0,0,,0,0,,PANTAI KUANTAN MUDIK,0,PANTAI KUANTAN MUDIK,Pantai,Pantai,Kuantan Mudik,43.362.928.557.164.400,8.389.656.781.687.320,5.667.233.893.477.800,,,PANTAI KUANTAN MUDIK,32.23023629672674,28.46027931173725,28.29480418361422,0.8678971218283945,0.6363280617099936,0.7700032810381563
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,AIR BULUH,2,0,0,,0,0,,AIR BULUH KUANTAN MUDIK,0,AIR BULUH KUANTAN MUDIK,Air Buluh,Air Buluh,Kuantan Mudik,4.377.034.632.026.270,8.559.333.227.287.120,5.712.656.845.900.410,,,AIR BULUH KUANTAN MUDIK,31.692511848341244,28.0129115157008,27.785100579252248,0.882639404949973,0.6572079229342671,0.7843526750921532
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,LUBUK RAMO,2,0,0,,0,0,,LUBUK RAMO KUANTAN MUDIK,0,LUBUK RAMO KUANTAN MUDIK,Lubuk Ramo,Lubuk Ramo,Kuantan Mudik,4.713.680.390.201.970,870.116.829.188.638,5.893.984.022.671.210,,,LUBUK RAMO KUANTAN MUDIK,32.690514666307884,29.01569205866124,29.03725074004309,0.8653322490581268,0.6337274156701923,0.733549596340151
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,KOTO CENGAR,2,0,0,,0,0,,KOTO CENGAR KUANTAN MUDIK,0,KOTO CENGAR KUANTAN MUDIK,Koto Cengar,Koto Cengar,Kuantan Mudik,4.787.663.145.929.520,88.478.327.312.985,60.463.047.853.903.400,,,KOTO CENGAR KUANTAN MUDIK,31.97565250572374,28.434928150865392,28.342987789366585,0.880147449758331,0.6913690086049573,0.8023980221317727
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,SEBERANG CENGAR,2,0,0,,0,0,,SEBERANG CENGAR KUANTAN MUDIK,0,SEBERANG CENGAR KUANTAN MUDIK,Seberang Cengar,Seberang Cengar,Kuantan Mudik,4.278.249.938.578.540,8.500.291.395.790.960,55.477.831.642.838.900,,,SEBERANG CENGAR KUANTAN MUDIK,31.575649588867822,27.632132005829963,27.511956356736263,0.8882768880455407,0.6535222594395399,0.7758348387096771
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,SANGAU,2,0,0,,0,0,,SANGAU KUANTAN MUDIK,0,SANGAU KUANTAN MUDIK,Sangau,Sangau,Kuantan Mudik,4.585.581.359.863.280,8.734.743.430.397.720,6.136.200.649.088.070,,,SANGAU KUANTAN MUDIK,33.072194357366804,29.444105694563515,28.872532218739146,0.8649012539184954,0.7226302757712053,0.7968884012539185
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,BANJAR PADANG,2,0,0,,0,0,,BANJAR PADANG KUANTAN MUDIK,0,BANJAR PADANG KUANTAN MUDIK,Banjar Padang,Banjar Padang,Kuantan Mudik,45.119.012.808.497.900,8.650.325.630.284.560,5.793.167.138.401.460,,,BANJAR PADANG KUANTAN MUDIK,32.109419709854954,28.71749061923043,28.66917458729367,0.8714285142571286,0.6794149031037259,0.7906402201100549
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,LUBUK JAMBI,2,0,0,,0,0,,LUBUK JAMBI KUANTAN MUDIK,0,KOTO LUBUK JAMBI KUANTAN MUDIK,Koto Lubuk Jambi,Koto Lubuk Jambi,Kuantan Mudik,4.712.442.741.709.300,8.586.976.807.964.730,5.573.168.514.188.650,,,KOTO LUBUK JAMBI KUANTAN MUDIK,30.959302798982225,27.371726164792403,27.31685835453778,0.8842102120441052,0.6683125603864735,0.787681509754029
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,KOTO LUBUK JAMBI,2,0,0,,0,0,,KOTO LUBUK JAMBI KUANTAN MUDIK,0,KOTO LUBUK JAMBI KUANTAN MUDIK,Koto Lubuk Jambi,Koto Lubuk Jambi,Kuantan Mudik,4.712.442.741.709.300,8.586.976.807.964.730,5.573.168.514.188.650,,,KOTO LUBUK JAMBI KUANTAN MUDIK,30.959302798982225,27.371726164792403,27.31685835453778,0.8842102120441052,0.6683125603864735,0.787681509754029
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,KASANG,2,0,0,,0,0,,KASANG KUANTAN MUDIK,0,KASANG KUANTAN MUDIK,Kasang,Kasang,Kuantan Mudik,4.376.579.952.916.350,8.501.813.350.839.810,5.335.648.059.844.970,,,KASANG KUANTAN MUDIK,31.06806982111948,27.560178179899506,27.388418926716707,0.88604871609925,0.6764433095411327,0.7945175129832662
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,AUR DURI,2,0,0,,0,0,,AUR DURI KUANTAN MUDIK,0,AUR DURI KUANTAN MUDIK,Aur Duri,Aur Duri,Kuantan Mudik,4.898.288.729.437.460,8.586.006.631.522.340,5.610.217.521.930.560,,,AUR DURI KUANTAN MUDIK,31.010510890024232,27.20951631146673,26.93980102178008,0.8933294433987633,0.6566467388381638,0.762314735143856
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,BUKIT KAUMAN,2,0,0,,0,0,,BUKIT KAUMAN KUANTAN MUDIK,0,BUKIT KAUMAN KUANTAN MUDIK,Bukit Kauman,Bukit Kauman,Kuantan Mudik,4.609.166.463.216.140,8.606.360.276.540.120,5.584.795.633.951.820,,,BUKIT KAUMAN KUANTAN MUDIK,31.538091728091764,28.27875836855255,28.05149058149061,0.870272972972973,0.6840450308015525,0.7471654381654383
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,SUNGAI MANAU,2,0,0,,0,0,,SUNGAI MANAU KUANTAN MUDIK,0,SUNGAI MANAU KUANTAN MUDIK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,SAIK,2,0,0,,0,0,,SAIK KUANTAN MUDIK,0,SAIK KUANTAN MUDIK,Saik,Saik,Kuantan Mudik,45.980.231.693.812.700,8.691.394.451.686.310,5.603.461.388.179.230,,,SAIK KUANTAN MUDIK,32.869188107490025,29.085706523979624,28.595546026300777,0.7991527158376214,0.5562485420240135,0.6370740994854204
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,PEBAUN HULU,2,0,0,,0,0,,PEBAUN HULU KUANTAN MUDIK,0,PEBAUN HULU KUANTAN MUDIK,Pebaun Hulu,Pebaun Hulu,Kuantan Mudik,4.507.723.770.141.600,8.661.328.550.485.460,5.596.271.096.743.070,,,PEBAUN HULU KUANTAN MUDIK,32.7231316725979,29.1171997899792,28.60553380782921,0.823529537366548,0.6256259090205785,0.7035545670225385
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,PEBAUN HILIR,2,0,0,,0,0,,PEBAUN HILIR KUANTAN MUDIK,0,PEBAUN HILIR KUANTAN MUDIK,Pebaun Hilir,Pebaun Hilir,Kuantan Mudik,4.503.318.691.253.660,864.789.891.242.981,5.590.024.650.096.890,,,PEBAUN HILIR KUANTAN MUDIK,32.75481379310348,29.32039284218833,28.825586206896595,0.8259908965517242,0.6345260539730138,0.7123659310344829
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,KINALI,2,0,0,,0,0,,KINALI KUANTAN MUDIK,0,KINALI KUANTAN MUDIK,Kinali,Kinali,Kuantan Mudik,4.492.390.060.424.800,8.614.581.108.093.260,5.574.527.740.478.510,,,KINALI KUANTAN MUDIK,33.40646067415732,29.64638615792762,29.22584269662924,0.762666573033708,0.5427329262335125,0.5896129213483147
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,PULAU BINJAI,2,0,0,,0,0,,PULAU BINJAI KUANTAN MUDIK,0,PULAU BINJAI KUANTAN MUDIK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,SEBERANG PANTAI,2,0,0,,0,0,,SEBERANG PANTAI KUANTAN MUDIK,0,SEBERANG PANTAI KUANTAN MUDIK,Seberang Pantai,Seberang Pantai,Kuantan Mudik,4.582.429.885.864.250,8.724.905.967.712.400,6.155.920.028.686.520,,,SEBERANG PANTAI KUANTAN MUDIK,32.755283842794775,30.01538654850589,30.021746724890868,0.827098034934498,0.6217251376495159,0.6524379912663756
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,LUAI,2,0,0,,0,0,,LUAI KUANTAN MUDIK,0,LUAI KUANTAN MUDIK,Luai,Luai,Kuantan Mudik,45.599.199.295.043.900,8.697.324.752.807.610,60.105.719.566.345.200,,,LUAI KUANTAN MUDIK,32.73927223719679,29.875267599492663,29.51191374663078,0.805746630727763,0.6179153052853628,0.6674239892183289
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,RANTAU SIALANG,2,0,0,,0,0,,RANTAU SIALANG KUANTAN MUDIK,0,RANTAU SIALANG KUANTAN MUDIK,Rantau Sialang,Rantau Sialang,Kuantan Mudik,4.582.429.885.864.250,8.724.905.967.712.400,6.155.920.028.686.520,,,RANTAU SIALANG KUANTAN MUDIK,32.76217391304351,29.767507246376844,29.68043478260874,0.8325608695652174,0.6343977315689981,0.6698478260869566
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,BANJAR GUNTUNG,2,0,0,,0,0,,BANJAR GUNTUNG KUANTAN MUDIK,0,BANJAR GUNTUNG KUANTAN MUDIK,Banjar Guntung,Banjar Guntung,Kuantan Mudik,461.535.609.683.475,8.827.686.562.409.270,5.949.894.387.013.200,,,BANJAR GUNTUNG KUANTAN MUDIK,32.98243372446765,29.588020003865605,29.09250760538899,0.8324479139504565,0.6543927073295166,0.7353038244241635
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,BUKIT PEDUSUNAN,2,0,0,,0,0,,BUKIT PEDUSUNAN KUANTAN MUDIK,0,BUKIT PEDUSUNAN KUANTAN MUDIK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,KUANTAN MUDIK,MUARO TOMBANG,2,0,0,,0,0,,MUARO TOMBANG KUANTAN MUDIK,0,MUARO TOMBANG KUANTAN MUDIK,Muaro Tombang,Muaro Tombang,Kuantan Mudik,5.100.382.011.167.460,869.672.926.010.624,5.629.186.753.303.770,,,MUARO TOMBANG KUANTAN MUDIK,32.32404466501244,28.91316739753656,28.56101736972708,0.7852029776674939,0.5857040403495524,0.6338245657568239
RIAU,KUANTAN SINGINGI,HULU KUANTAN,SUNGAI KELELAWAR,2,0,0,,0,0,,SUNGAI KELELAWAR HULU KUANTAN,0,SUNGAI KELELAWAR HULU KUANTAN,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,HULU KUANTAN,SUNGAI ALAH,2,0,0,,0,0,,SUNGAI ALAH HULU KUANTAN,0,SUNGAI ALAH HULU KUANTAN,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,HULU KUANTAN,LUBUK AMBACANG,2,0,0,,0,0,,LUBUK AMBACANG HULU KUANTAN,0,LUBUK AMBACANG HULU KUANTAN,Lubuk Ambacang,Lubuk Ambacang,Hulu Kuantan,51.647.087.956.818.000,8.667.983.498.371.820,5.648.350.357.449.670,,,LUBUK AMBACANG HULU KUANTAN,31.086362252663648,26.615425431128884,26.297101407914784,0.8767664098173518,0.6321937421414859,0.731945880898021
RIAU,KUANTAN SINGINGI,HULU KUANTAN,KOTO KOMBU,2,0,0,,0,0,,KOTO KOMBU HULU KUANTAN,0,KOTO KOMBU HULU KUANTAN,Koto Kombu,Koto Kombu,Hulu Kuantan,4.936.077.125.117.460,8.821.556.673.109.900,5.662.340.653.017.630,,,KOTO KOMBU HULU KUANTAN,32.20061579328667,27.7213301883583,27.44670127988411,0.8413117604443372,0.6398032842308622,0.7438968848104321
RIAU,KUANTAN SINGINGI,HULU KUANTAN,SUMPU,2,0,0,,0,0,,SUMPU HULU KUANTAN,0,SUMPU HULU KUANTAN,Sumpu,Sumpu,Hulu Kuantan,5.469.982.437.889.410,877.494.464.057.703,5.637.482.249.317.830,,,SUMPU HULU KUANTAN,32.231207094551515,27.213398654563107,26.82093275488073,0.8628934541278551,0.6346470388513794,0.7499480541023353
RIAU,KUANTAN SINGINGI,HULU KUANTAN,INUMAN,2,0,0,,0,0,,INUMAN HULU KUANTAN,0,INUMAN HULU KUANTAN,Inuman,Inuman,Hulu Kuantan,61.633.164.721.324.000,8.993.378.986.989.640,5.609.685.982.976.640,,,INUMAN HULU KUANTAN,31.96874734451692,27.963560224691463,27.761649695993,0.8597607867555488,0.646242562258538,0.7748478939271845
RIAU,KUANTAN SINGINGI,HULU KUANTAN,TANJUNG MEDANG,2,0,0,,0,0,,TANJUNG MEDANG HULU KUANTAN,0,TANJUNG HULU KUANTAN,Tanjung,Tanjung,Hulu Kuantan,53.139.203.530.770.700,8.755.427.890.353.730,5.759.254.142.090.120,,,TANJUNG HULU KUANTAN,32.018656939768086,28.351477062088115,28.01833894500564,0.8335593714927049,0.5816480879649963,0.6933218855218858
RIAU,KUANTAN SINGINGI,HULU KUANTAN,MUDIK ULO,2,0,0,,0,0,,MUDIK ULO HULU KUANTAN,0,MUDIK ULO HULU KUANTAN,Mudik Ulo,Mudik Ulo,Hulu Kuantan,5.400.003.618.807.400,8.991.905.057.752.450,5.756.001.794.660.410,,,MUDIK ULO HULU KUANTAN,32.06045652173916,28.242165215559083,27.9752907608696,0.8634340217391302,0.6455137157372401,0.7857854891304348
RIAU,KUANTAN SINGINGI,HULU KUANTAN,SUNGAI PINANG,2,0,0,,0,0,,SUNGAI PINANG HULU KUANTAN,0,SUNGAI PINANG HULU KUANTAN,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,HULU KUANTAN,TANJUNG,2,0,0,,0,0,,TANJUNG HULU KUANTAN,0,TANJUNG HULU KUANTAN,Tanjung,Tanjung,Hulu Kuantan,53.139.203.530.770.700,8.755.427.890.353.730,5.759.254.142.090.120,,,TANJUNG HULU KUANTAN,32.018656939768086,28.351477062088115,28.01833894500564,0.8335593714927049,0.5816480879649963,0.6933218855218858
RIAU,KUANTAN SINGINGI,HULU KUANTAN,SEROSAH,2,0,0,,0,0,,SEROSAH HULU KUANTAN,0,SEROSA HULU KUANTAN,Serosa,Serosa,Hulu Kuantan,5.625.021.683.991.840,8.942.668.089.226.110,5.577.137.424.874.660,,,SEROSA HULU KUANTAN,31.556519699113743,27.963121181372028,27.6604334549788,0.8583840843077379,0.6260954060766593,0.7458884337528859
RIAU,KUANTAN SINGINGI,HULU KUANTAN,SAMPURAGO,2,0,0,,0,0,,SAMPURAGO HULU KUANTAN,0,SAMPURAGO HULU KUANTAN,Sampurago,Sampurago,Hulu Kuantan,50.240.684.509.277.300,8.805.001.258.850.090,5.623.464.584.350.580,,,SAMPURAGO HULU KUANTAN,32.759009009009034,29.22584605193432,28.729324324324345,0.7737576576576578,0.5677645319232277,0.6340720720720722
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,PULAU RUMPUT,2,0,0,,0,0,,PULAU RUMPUT GUNUNG TOAR,0,PULAU RUMPUT GUNUNG TOAR,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,KOTO GUNUNG,2,0,0,,0,0,,KOTO GUNUNG GUNUNG TOAR,0,GUNUNG GUNUNGTOAR,Gunung,Gunung,Gunungtoar,4.835.666.621.815.070,8.624.661.965.803.660,561.698.510.430.076,,,GUNUNG GUNUNGTOAR,32.617479338843,29.02842064906966,28.4273863636364,0.8351744834710746,0.6005821775062883,0.7224649793388429
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,TELUK BERINGIN,2,0,0,,0,0,,TELUK BERINGIN GUNUNG TOAR,0,TELUK BERINGIN GUNUNG TOAR,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,PULAU MUNGKUR,2,0,0,,0,0,,PULAU MUNGKUR GUNUNG TOAR,0,PULAU MUNGKUR GUNUNG TOAR,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,SEBERANG GUNUNG,2,0,0,,0,0,,SEBERANG GUNUNG GUNUNG TOAR,0,SEBERANG GUNUNG GUNUNG TOAR,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,TEBERAU PANJANG,2,0,0,,0,0,,TEBERAU PANJANG GUNUNG TOAR,0,TEBERAU PANJANG GUNUNG TOAR,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,GUNUNG,2,0,0,,0,0,,GUNUNG GUNUNG TOAR,0,GUNUNG GUNUNGTOAR,Gunung,Gunung,Gunungtoar,4.835.666.621.815.070,8.624.661.965.803.660,561.698.510.430.076,,,GUNUNG GUNUNGTOAR,32.617479338843,29.02842064906966,28.4273863636364,0.8351744834710746,0.6005821775062883,0.7224649793388429
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,TOAR,2,0,0,,0,0,,TOAR GUNUNG TOAR,0,TOAR GUNUNGTOAR,Toar,Toar,Gunungtoar,53.049.350.572.668.900,8.712.398.315.808.790,57.099.953.734.356.400,,,TOAR GUNUNGTOAR,31.996528987310302,28.60808025946394,28.20934312017918,0.8464352824085593,0.5863288001557817,0.7339299328191093
RIAU,KUANTAN SINGINGI,GUNUNG TOAR,KAMPUNG BARU,2,0,0,,0,0,,KAMPUNG BARU GUNUNG TOAR,0,KAMPUNG BARU GUNUNG TOAR,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
